target,window,model,RMSE,R2
cpi_all_items,full_test,LagLinear,0.7827560506310909,0.9943508745661408
cpi_all_items,full_test,GPRLinear,0.9453354616256326,0.9917605115299195
cpi_all_items,full_test,GPRBoosting,34.78071562509039,-10.153351217421172
fed_funds,full_test,GPRLinear,0.1886805726238406,0.9817068107241969
fed_funds,full_test,LagLinear,0.19036311414501403,0.981379100406737
fed_funds,full_test,GPRBoosting,0.5713580320883778,0.8322541707912995
gas_retail,full_test,LagLinear,0.22215115352161852,0.7472634065268804
gas_retail,full_test,GPRLinear,0.2660933829911637,0.6373905382547261
gas_retail,full_test,GPRBoosting,0.35646478727980374,0.34926486991759087
oil_wti,full_test,LagLinear,5.751390101263471,0.794450562921738
oil_wti,full_test,GPRBoosting,5.78551867655186,0.7920038768028064
oil_wti,full_test,GPRLinear,6.948183462173913,0.7000055674878347
unemployment_rate,full_test,LagLinear,0.18268770846624938,0.6370356196567407
unemployment_rate,full_test,GPRLinear,0.5711907346390507,-2.5481964664792383
unemployment_rate,full_test,GPRBoosting,0.6656941007958783,-3.8194199117332266
usd_index,full_test,LagLinear,1.5242228844353434,0.7196209234919917
usd_index,full_test,GPRLinear,1.6257557086495462,0.681023109008096
usd_index,full_test,GPRBoosting,6.310859280738657,-3.806463384713763
vix,full_test,LagLinear,3.3500178986248383,0.5558953124606425
vix,full_test,GPRLinear,4.149685814214156,0.31856955253857655
vix,full_test,GPRBoosting,5.159997342059366,-0.053634683336644784
cpi_all_items,recent_test_2018plus,LagLinear,0.7827560506310909,0.9943508745661408
cpi_all_items,recent_test_2018plus,GPRLinear,0.9453354616256326,0.9917605115299195
cpi_all_items,recent_test_2018plus,GPRBoosting,34.78071562509039,-10.153351217421172
fed_funds,recent_test_2018plus,GPRLinear,0.1886805726238406,0.9817068107241969
fed_funds,recent_test_2018plus,LagLinear,0.19036311414501403,0.981379100406737
fed_funds,recent_test_2018plus,GPRBoosting,0.5713580320883778,0.8322541707912995
gas_retail,recent_test_2018plus,LagLinear,0.22215115352161852,0.7472634065268804
gas_retail,recent_test_2018plus,GPRLinear,0.2660933829911637,0.6373905382547261
gas_retail,recent_test_2018plus,GPRBoosting,0.35646478727980374,0.34926486991759087
oil_wti,recent_test_2018plus,LagLinear,5.751390101263471,0.794450562921738
oil_wti,recent_test_2018plus,GPRBoosting,5.78551867655186,0.7920038768028064
oil_wti,recent_test_2018plus,GPRLinear,6.948183462173913,0.7000055674878347
unemployment_rate,recent_test_2018plus,LagLinear,0.18268770846624938,0.6370356196567407
unemployment_rate,recent_test_2018plus,GPRLinear,0.5711907346390507,-2.5481964664792383
unemployment_rate,recent_test_2018plus,GPRBoosting,0.6656941007958783,-3.8194199117332266
usd_index,recent_test_2018plus,LagLinear,1.5242228844353434,0.7196209234919917
usd_index,recent_test_2018plus,GPRLinear,1.6257557086495462,0.681023109008096
usd_index,recent_test_2018plus,GPRBoosting,6.310859280738657,-3.806463384713763
vix,recent_test_2018plus,LagLinear,3.3500178986248383,0.5558953124606425
vix,recent_test_2018plus,GPRLinear,4.149685814214156,0.31856955253857655
vix,recent_test_2018plus,GPRBoosting,5.159997342059366,-0.053634683336644784
